,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point
0,0.850,0.811,0.861,1.287,0.979,1.298,0.968,0.862,0.968,0.852,0.944
1,0.860,0.843,1.011,0.875,1.089,1.602,0.825,0.796,0.836,0.875,0.929
2,0.859,0.833,0.980,0.997,0.989,1.269,1.164,0.752,1.055,0.898,0.921
3,0.845,0.709,0.988,1.023,0.933,0.988,0.932,0.952,0.983,0.854,0.881
4,0.747,0.841,1.076,0.973,1.247,1.388,0.852,0.898,0.870,0.845,0.886
5,0.841,1.106,0.975,1.024,1.033,0.880,0.852,0.922,1.085,0.857,0.953
6,0.856,0.814,1.065,0.977,0.948,0.850,1.131,0.777,1.010,0.840,0.919
7,0.864,0.816,1.050,0.891,1.114,1.213,0.854,0.850,1.103,0.837,0.900
8,0.865,0.842,1.085,1.130,0.872,1.027,0.817,0.935,0.862,0.816,0.877
9,0.830,0.849,0.974,0.954,1.102,1.633,0.785,0.876,0.959,0.853,0.878
