,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP,0.037,0.010,0.019,0.020,0.027,0.136,0.121,0.041,0.016,0.009,0.021,0.042
SVWP,0.038,0.010,0.016,0.037,0.019,0.136,0.145,0.039,0.025,0.009,0.019,0.045
DCC_joint,0.037,0.016,0.025,0.022,0.025,0.032,0.018,0.021,0.010,0.012,0.023,0.022
SW_cross_validated,0.030,0.009,0.017,0.019,0.026,0.028,0.025,0.042,0.012,0.012,0.017,0.022
SW_15,0.020,0.027,0.020,0.026,0.026,0.026,0.028,0.034,0.016,0.022,0.017,0.024
SW_30,0.013,0.022,0.024,0.010,0.020,0.020,0.024,0.021,0.012,0.012,0.017,0.018
SW_60,0.025,0.013,0.024,0.026,0.019,0.008,0.010,0.010,0.008,0.010,0.017,0.015
SW_120,0.038,0.022,0.013,0.013,0.010,0.018,0.012,0.008,0.008,0.013,0.018,0.016
sFC,0.036,0.010,0.003,0.007,0.005,0.007,0.005,0.006,0.006,0.006,0.005,0.009
