,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point
0,0.871,0.826,1.034,0.988,1.164,0.949,0.884,0.895,1.112,0.848,0.935
1,0.809,0.769,1.075,0.941,1.165,1.616,0.765,0.984,0.868,0.881,0.925
2,0.851,0.840,1.081,0.971,1.187,0.889,0.821,0.869,1.052,0.896,0.839
3,0.850,0.853,1.164,1.152,1.074,1.473,0.971,0.991,0.902,0.842,0.856
4,0.843,0.859,1.105,0.972,1.189,0.804,0.846,0.829,0.875,0.835,0.897
5,0.843,0.970,0.927,1.043,0.889,1.096,0.862,0.942,0.902,0.758,0.953
6,0.853,0.812,1.149,1.016,1.070,0.816,0.831,0.908,0.936,0.846,0.931
7,0.858,0.830,1.056,0.988,1.103,1.524,0.947,0.901,1.045,0.844,0.911
8,0.853,0.854,1.086,0.849,0.892,0.938,0.829,0.788,0.985,0.847,0.844
9,0.839,0.851,1.153,0.937,0.971,1.098,0.823,0.808,1.028,0.826,0.917
