,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,sFC
SVWP_joint,,0.001,0.491,0.001,0.000
DCC_joint,0.001,,0.001,0.286,0.007
DCC_bivariate_loop,0.491,0.001,,0.001,0.000
SW_cross_validated,0.001,0.286,0.001,,0.312
sFC,0.000,0.007,0.000,0.312,
