,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,sFC
SVWP_joint,,0.000,0.037,0.000,0.000
DCC_joint,0.000,,0.016,0.431,0.087
DCC_bivariate_loop,0.037,0.016,,0.010,0.000
SW_cross_validated,0.000,0.431,0.010,,0.556
sFC,0.000,0.087,0.000,0.556,
