,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,sFC
SVWP_joint,,0.936,0.438,0.018,0.984
DCC_joint,0.936,,0.481,0.016,0.918
DCC_bivariate_loop,0.438,0.481,,0.005,0.416
SW_cross_validated,0.018,0.016,0.005,,0.017
sFC,0.984,0.918,0.416,0.017,
