,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point
0,-5.831625777437145,-5.147152324846567,-5.68596174695229,-5.6554835639509875,-5.564773533149069,-5.742474137555284,-5.600073219162945,-5.867942922996056,-5.83655299468534,-5.504282155760806,-5.518499114954127
1,-5.800120388718258,-5.19072538382801,-5.616583195817373,-5.6243099489001445,-5.656467800035293,-5.707973425465024,-5.705251612525981,-5.66031198190009,-5.568126021826329,-5.518709181156293,-5.625953245967716
2,-5.670538442830776,-5.201975069543302,-5.731764454670858,-5.750308725767497,-5.564021132172736,-5.950656650220069,-5.693985919611069,-5.686311614198566,-5.642313647135836,-5.585271230897067,-5.707981404995333
3,-5.810577660129047,-5.320189841882917,-5.548927154579844,-5.783369919216759,-5.763212380141797,-5.777430408062512,-5.729162256910067,-5.72248473873017,-5.777805577536997,-5.559222746090654,-5.420891519635273
4,-5.688796278445607,-5.1277413423557165,-5.681262261809677,-5.853534936307922,-5.601246358028259,-5.733773171506934,-5.608923388990919,-5.620293252541555,-5.746994153268161,-5.776512884706124,-5.587138722431944
5,-5.608291281721361,-5.269421633277752,-5.6500857856184465,-5.69198320101875,-5.573307717260466,-5.648097606664269,-5.6515209443829,-5.642108226914519,-5.700007064972773,-5.621789690829818,-5.566510884339457
6,-5.780977802972886,-5.292185769361822,-5.8085742572997425,-5.849142699709128,-5.78378857505747,-5.758539450039757,-5.782352130676668,-5.836935289530338,-5.829208405138084,-5.655503476680618,-5.554765603522562
7,-5.707220063279849,-5.246684134135778,-5.6604164537295905,-5.624412686665367,-5.805874660020413,-5.8566592733752945,-5.739602125469311,-5.746586864983154,-5.680185372529829,-5.595491163724444,-5.617108600990421
8,-5.715782448863281,-5.1443174083857635,-5.679356849383835,-5.640616355174609,-5.600759384934781,-5.692499439682194,-5.731658317804532,-5.640101503303133,-5.797129710869662,-5.770060279823481,-5.74467775529143
9,-5.6674726632395735,-5.325517682568477,-5.772865226483742,-5.630779167502632,-5.54562953524447,-5.703783107667905,-5.720271464048293,-5.522345108876653,-5.767561409029784,-5.641246539535022,-5.520277219175752
