,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point
0,-5.61,-5.07,-5.69,-5.66,-5.76,-5.68,-5.65,-5.63,-5.59,-5.64,-5.73
1,-5.70,-5.10,-5.84,-5.72,-5.63,-5.59,-5.71,-5.68,-5.83,-5.60,-5.58
2,-5.67,-5.11,-5.58,-5.63,-5.69,-5.68,-5.71,-5.77,-5.71,-5.60,-5.74
3,-5.62,-5.11,-5.77,-5.59,-5.55,-5.66,-5.62,-5.73,-5.78,-5.53,-5.62
4,-5.73,-4.99,-5.69,-5.80,-5.60,-5.79,-5.65,-5.81,-5.70,-5.53,-5.53
5,-5.66,-5.14,-5.76,-5.77,-5.88,-5.72,-5.59,-5.71,-5.66,-5.58,-5.53
6,-5.73,-5.24,-5.80,-5.64,-5.64,-5.62,-5.69,-5.63,-5.70,-5.54,-5.57
7,-5.73,-5.15,-5.65,-5.81,-5.78,-5.82,-5.69,-5.70,-5.60,-5.62,-5.44
8,-5.65,-5.20,-5.71,-5.71,-5.68,-5.60,-5.72,-5.63,-5.66,-5.53,-5.42
9,-5.69,-5.17,-5.73,-5.80,-5.75,-5.62,-5.76,-5.63,-5.74,-5.54,-5.42
