,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point
0,-5.85,-5.18,-5.34,-5.39,-5.43,-5.49,-5.42,-5.88,-5.36,-5.50,-5.43
1,-5.81,-5.20,-5.25,-5.37,-5.43,-5.47,-5.47,-5.67,-5.01,-5.49,-5.56
2,-5.66,-5.20,-5.42,-5.46,-5.27,-5.80,-5.51,-5.62,-5.19,-5.59,-5.66
3,-5.81,-5.33,-5.26,-5.35,-5.49,-5.55,-5.47,-5.64,-5.10,-5.57,-5.39
4,-5.71,-5.17,-5.53,-5.52,-5.44,-5.41,-5.31,-5.57,-4.99,-5.79,-5.52
5,-5.61,-5.29,-5.49,-5.33,-5.48,-5.44,-5.57,-5.61,-5.57,-5.65,-5.54
6,-5.81,-5.30,-5.62,-5.50,-5.43,-5.54,-5.54,-5.80,-5.30,-5.71,-5.52
7,-5.71,-5.33,-5.20,-5.41,-5.53,-5.68,-5.54,-5.67,-5.76,-5.57,-5.57
8,-5.73,-5.15,-5.34,-5.45,-5.24,-5.41,-5.52,-5.61,-5.27,-5.79,-5.73
9,-5.67,-5.36,-5.54,-5.31,-5.62,-5.48,-5.50,-5.47,-6.07,-5.64,-5.46
