,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point
0,-5.85,-5.15,-5.40,-5.55,-5.53,-5.71,-5.54,-5.87,-5.38,-5.50,-5.49
1,-5.80,-5.19,-5.37,-5.50,-5.61,-5.65,-5.60,-5.66,-5.01,-5.51,-5.60
2,-5.67,-5.19,-5.51,-5.65,-5.47,-5.88,-5.66,-5.68,-5.40,-5.59,-5.69
3,-5.81,-5.32,-5.38,-5.61,-5.68,-5.69,-5.63,-5.71,-5.25,-5.55,-5.42
4,-5.70,-5.16,-5.62,-5.75,-5.61,-5.65,-5.51,-5.62,-5.21,-5.78,-5.56
5,-5.61,-5.29,-5.51,-5.51,-5.51,-5.63,-5.65,-5.62,-5.15,-5.64,-5.56
6,-5.80,-5.29,-5.72,-5.63,-5.63,-5.68,-5.70,-5.85,-5.59,-5.69,-5.55
7,-5.71,-5.26,-5.34,-5.55,-5.71,-5.83,-5.71,-5.74,-5.32,-5.58,-5.62
8,-5.73,-5.14,-5.46,-5.41,-5.49,-5.63,-5.68,-5.64,-5.38,-5.77,-5.71
9,-5.67,-5.35,-5.51,-5.50,-5.39,-5.64,-5.68,-5.51,-5.54,-5.64,-5.51
