,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,sFC
SVWP_joint,,0.034,0.112,1.497,0.110
DCC_joint,0.034,,0.074,1.401,0.136
DCC_bivariate_loop,0.112,0.074,,1.321,0.212
SW_cross_validated,1.497,1.401,1.321,,1.575
sFC,0.110,0.136,0.212,1.575,
