,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point
0,-6.227578910868272,-5.9422365519230445,-5.9286358006024376,-6.001882166334112,-6.035638927452192,-6.383751418467972,-6.077328802294525,-6.028107185764859,-5.839668622039599,-6.235950744122871,-6.030820400191995
1,-5.8134416830323765,-5.727665185292119,-6.40639725261678,-6.137186930130241,-6.703802352796113,-6.079117799442572,-5.932097195019493,-5.785178005039606,-6.600978702119409,-6.0490832291228775,-6.404842775235613
2,-6.137334078981025,-6.011590379666285,-6.185943555509465,-6.023294646726857,-6.20629988277081,-5.898740739211694,-6.010159204863745,-6.10618050135381,-6.060649381841058,-6.354512071387238,-6.184417254244664
3,-6.134485486024113,-6.51161594999083,-6.336122685309245,-6.069669382248296,-6.441968691471229,-6.369645137213013,-5.953008125732848,-6.42026327115881,-5.817345322322949,-5.861148132887575,-5.7747619949416755
4,-6.279734140171386,-6.057442120701449,-6.0104888884113885,-6.093084927176224,-6.426425012628352,-6.147407174557268,-6.834781511432997,-6.018982454410388,-6.318959052267843,-6.2590527601578785,-5.975906460237341
5,-5.917619469317157,-6.1150763207809575,-5.96899723822197,-6.754307796463764,-5.98254659930335,-5.943388530506314,-6.208656142783908,-5.743732709983017,-7.107066845201039,-6.12008100250534,-6.231016798401162
6,-6.369492580963855,-5.854492400084679,-6.3479379506024145,-6.239967110012459,-6.188141326495727,-6.127896348534611,-6.004522917703957,-6.7900419450518505,-6.0830206786577765,-6.033292048258996,-6.061516541242894
7,-6.201295890129914,-6.018353490772568,-6.0427696906240635,-6.343083753653686,-5.982762429583357,-6.158835262243439,-6.311345198861116,-5.941654006943211,-6.193918215638968,-6.132647161200644,-6.200983977395863
8,-5.991399583229309,-6.469741249020476,-6.264874514454011,-5.923106496721751,-5.789787055013129,-6.2333103958935,-6.400359587233206,-6.621193927182707,-5.940394628513814,-6.013758406650378,-6.34304377106981
9,-6.163779927586354,-5.961344950338603,-5.711491061111231,-6.747396299261601,-6.191417880368358,-6.376540916197548,-5.8072108111042295,-6.288404559702249,-5.99127164010086,-6.1416212035144815,-5.937808822442076
