,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,sFC
SVWP_joint,,0.969,0.621,0.000,0.795
DCC_joint,0.969,,0.608,0.000,0.834
DCC_bivariate_loop,0.621,0.608,,0.000,0.459
SW_cross_validated,0.000,0.000,0.000,,0.000
sFC,0.795,0.834,0.459,0.000,
