,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point
0,-5.6133563297934606,-5.559543945208418,-5.6243480829056,-5.419537834323574,-5.3818590558669985,-5.675123392487197,-5.624600996693719,-5.778945543809105,-5.558661730361747,-5.612527752773892,-5.719175887739727
1,-5.630487342856566,-5.332600733560598,-5.557837605767613,-5.385657322620894,-5.6622380682550215,-5.721747206603748,-5.48003307858251,-5.659413637818325,-5.555798649220237,-5.598923807893075,-5.5437330373812985
2,-5.767942842237635,-5.318623186676193,-5.386160643913547,-5.491752594456038,-5.463987644108192,-5.60229418967881,-5.700983036987734,-5.705081305882751,-5.5121623229927605,-5.597933594120113,-5.564209935314859
3,-5.67296342040066,-5.4159784816278105,-5.59462866266728,-5.502801228265316,-5.721589447593892,-5.532441619946435,-5.5205080334453225,-5.578964716732109,-5.5073997303544004,-5.82886729737294,-5.623166920278936
4,-5.618847795632554,-5.49253851533606,-5.5262632484549465,-5.57046798084277,-5.548137450470818,-5.702769282237496,-5.545975289537856,-5.733203506867783,-5.53273268409481,-5.712619098341864,-5.511766054772315
5,-5.796469758104386,-5.461821176045387,-5.570646546823952,-5.5411244220780285,-5.703736982795335,-5.531347007239651,-5.53980540479157,-5.906897375836224,-5.551138148426515,-5.668055722033422,-5.469128100573391
6,-5.760175582644936,-5.414200237961088,-5.5208767650852835,-5.4744452537159285,-5.742481285144268,-5.535307057967898,-5.530403814626432,-5.6004407938612095,-5.2407405405883,-5.6789156490939865,-5.655322046875337
7,-5.680296875216603,-5.61426285533973,-5.709170638832216,-5.448920234477214,-5.426278452567735,-5.618582442169769,-5.660515852428016,-5.524411027247777,-5.253121453588513,-5.641736850641346,-5.521278965826987
8,-5.750178471802947,-5.479534515678156,-5.629369680736091,-5.607629177992822,-5.4636412842805315,-5.568376459857874,-5.801490793880345,-5.664541136159082,-5.50961868833137,-5.82803247348939,-5.693102208596786
9,-5.546739986638058,-5.566600665966821,-5.628025791137078,-5.501329271194277,-5.453676138632931,-5.760086076413136,-5.731909300574602,-5.679664197129032,-5.4786897240543615,-5.539902339570597,-5.428001889010732
