,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,sFC
SVWP_joint,,0.060,0.444,0.024,0.000
DCC_joint,0.060,,0.235,0.453,0.001
DCC_bivariate_loop,0.444,0.235,,0.088,0.000
SW_cross_validated,0.024,0.453,0.088,,0.021
sFC,0.000,0.001,0.000,0.021,
