,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.041,0.017,0.028,0.023,0.030,0.037,0.017,0.070,0.032,0.011,0.026,0.030
DCC_joint,0.035,0.018,0.034,0.031,0.025,0.017,0.028,0.012,0.027,0.009,0.030,0.024
DCC_bivariate_loop,0.037,0.020,0.028,0.020,0.022,0.033,0.028,0.022,0.013,0.009,0.038,0.025
SW_cross_validated,0.028,0.016,0.024,0.026,0.027,0.029,0.162,0.063,0.028,0.014,0.026,0.040
SW_15,0.030,0.026,0.036,0.029,0.025,0.043,0.041,0.029,0.023,0.030,0.039,0.032
SW_30,0.025,0.026,0.030,0.029,0.018,0.035,0.035,0.029,0.025,0.023,0.044,0.029
SW_60,0.031,0.026,0.032,0.028,0.019,0.014,0.018,0.019,0.028,0.016,0.040,0.025
SW_120,0.035,0.020,0.047,0.016,0.014,0.013,0.012,0.011,0.022,0.018,0.030,0.022
sFC,0.038,0.007,0.001,0.005,0.003,0.003,0.007,0.003,0.003,0.009,0.002,0.007
