,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.043,0.036,0.067,0.077,0.090,0.092,0.167,0.095,0.082,0.063,0.059,0.079
DCC_joint,0.047,0.044,0.131,0.138,0.147,0.152,0.154,0.101,0.156,0.067,0.082,0.111
DCC_bivariate_loop,0.055,0.054,0.073,0.075,0.087,0.095,0.093,0.086,0.080,0.072,0.071,0.077
SW_cross_validated,0.106,0.109,0.120,0.135,0.155,0.169,0.184,0.142,0.148,0.116,0.116,0.136
SW_15,0.268,0.273,0.273,0.264,0.273,0.270,0.270,0.273,0.273,0.270,0.270,0.271
SW_30,0.197,0.194,0.197,0.189,0.198,0.197,0.196,0.199,0.202,0.196,0.197,0.197
SW_60,0.144,0.144,0.143,0.142,0.155,0.164,0.178,0.153,0.151,0.148,0.147,0.152
SW_120,0.120,0.121,0.130,0.140,0.191,0.215,0.223,0.146,0.133,0.133,0.125,0.152
sFC,0.045,0.041,0.168,0.168,0.169,0.169,0.169,0.101,0.192,0.065,0.085,0.125
