,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,,,,,,,,,,,,
SVWP,,,,,,,,,,,,
DCC_joint,,,0.021,0.017,0.021,0.033,0.039,0.119,0.012,0.162,0.139,0.063
DCC_bivariate_loop,,,0.012,0.008,0.014,0.020,0.019,0.050,0.005,0.132,0.076,0.037
SW_cross_validated,,,0.004,0.008,0.009,0.015,0.163,0.342,0.009,0.101,0.076,0.081
SW_15,,,0.020,0.015,0.019,0.026,0.023,0.040,0.012,0.073,0.096,0.036
SW_30,,,0.011,0.012,0.009,0.019,0.018,0.042,0.010,0.098,0.090,0.034
SW_60,,,0.008,0.007,0.010,0.022,0.048,0.034,0.010,0.129,0.078,0.038
SW_120,,,0.010,0.014,0.053,0.183,0.124,0.059,0.006,0.163,0.067,0.075
sFC,,,,,,,,0.000,,,,0.000
