,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.016,0.041,0.098,0.129,0.163,0.166,0.677,0.325,0.217,0.201,0.157,0.199
DCC_joint,0.043,0.023,0.282,0.405,0.490,0.519,0.554,0.342,0.280,0.195,0.220,0.305
DCC_bivariate_loop,0.059,0.028,0.192,0.231,0.273,0.292,0.317,0.260,0.230,0.185,0.158,0.202
SW_cross_validated,0.074,0.155,0.119,0.195,0.242,0.270,0.480,0.302,0.230,0.217,0.162,0.222
SW_15,0.245,0.325,0.293,0.285,0.310,0.286,0.307,0.286,0.321,0.288,0.296,0.295
SW_30,0.190,0.220,0.195,0.200,0.220,0.228,0.260,0.223,0.253,0.226,0.230,0.222
SW_60,0.148,0.165,0.132,0.182,0.261,0.364,0.494,0.239,0.224,0.215,0.183,0.237
SW_120,0.105,0.143,0.164,0.353,0.594,0.761,0.815,0.365,0.268,0.229,0.162,0.360
sFC,0.042,0.011,0.690,0.693,0.690,0.690,0.693,0.377,0.795,0.199,0.294,0.470
