,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP,,,,,,,,,,,,
SVWP,,,,,,,,,,,,
DCC_joint,,,0.007,0.005,0.007,0.011,0.012,0.038,0.004,0.051,0.044,0.020
DCC_bivariate_loop,,,0.004,0.002,0.004,0.006,0.006,0.016,0.002,0.042,0.024,0.012
SW_cross_validated,,,0.001,0.002,0.003,0.005,0.052,0.108,0.003,0.032,0.024,0.026
SW_15,,,0.006,0.005,0.006,0.008,0.007,0.013,0.004,0.023,0.030,0.011
SW_30,,,0.004,0.004,0.003,0.006,0.006,0.013,0.003,0.031,0.028,0.011
SW_60,,,0.002,0.002,0.003,0.007,0.015,0.011,0.003,0.041,0.025,0.012
SW_120,,,0.003,0.004,0.017,0.058,0.039,0.019,0.002,0.051,0.021,0.024
sFC,,,,,,,,0.000,,,,0.000
