,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.016,0.019,0.066,0.088,0.114,0.175,0.675,0.322,0.194,0.200,0.137,0.182
DCC_joint,0.044,0.011,0.281,0.402,0.488,0.517,0.553,0.342,0.279,0.197,0.220,0.303
DCC_bivariate_loop,0.060,0.018,0.192,0.229,0.273,0.293,0.316,0.260,0.229,0.185,0.151,0.201
SW_cross_validated,0.083,0.025,0.122,0.193,0.237,0.264,0.462,0.300,0.174,0.203,0.119,0.198
SW_15,0.281,0.126,0.182,0.172,0.187,0.193,0.197,0.237,0.170,0.251,0.209,0.200
SW_30,0.204,0.079,0.124,0.132,0.149,0.182,0.215,0.197,0.152,0.197,0.153,0.162
SW_60,0.153,0.052,0.104,0.163,0.248,0.357,0.486,0.226,0.165,0.196,0.125,0.207
SW_120,0.108,0.038,0.184,0.360,0.590,0.760,0.813,0.372,0.223,0.212,0.131,0.345
sFC,0.042,0.011,0.690,0.693,0.690,0.690,0.692,0.377,0.795,0.198,0.294,0.470
