,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point
0,0.877,0.921,0.903,1.101,0.769,0.936,0.936,0.798,0.843,0.770,0.840
1,0.810,0.837,0.742,0.893,0.849,0.936,0.936,0.789,0.875,0.890,0.840
2,0.879,0.872,0.885,0.907,0.854,0.936,0.936,0.818,0.875,0.860,0.840
3,0.845,0.830,0.852,0.892,0.978,0.936,0.936,0.862,0.842,0.814,0.840
4,0.853,0.685,0.958,1.267,0.874,0.936,0.936,0.819,0.902,0.883,0.840
5,0.812,0.937,0.995,0.880,0.867,0.936,0.936,0.857,0.934,0.830,0.840
6,0.834,0.898,0.930,0.871,0.816,0.936,0.936,0.941,0.926,0.813,0.840
7,0.972,0.885,0.788,0.847,0.940,0.936,0.936,0.897,0.957,0.841,0.840
8,0.804,0.767,0.860,0.986,1.290,0.936,0.936,0.897,0.868,0.938,0.840
9,0.832,0.832,0.934,1.117,0.936,0.936,0.936,0.897,0.941,0.840,0.840
