,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,,,,,,,,
DCC_joint,,,,0.62,0.44,1.66,2.02,2.64,2.30,2.69
DCC_bivariate_loop,,,0.62,,0.10,1.16,1.51,3.41,3.02,3.61
SW_cross_validated,,,0.44,0.10,,0.63,0.81,1.77,1.64,1.67
SW_15,,,1.66,1.16,0.63,,0.25,3.90,3.61,3.98
SW_30,,,2.02,1.51,0.81,0.25,,4.46,4.12,4.63
SW_60,,,2.64,3.41,1.77,3.90,4.46,,0.25,0.53
SW_120,,,2.30,3.02,1.64,3.61,4.12,0.25,,0.15
sFC,,,2.69,3.61,1.67,3.98,4.63,0.53,0.15,
