,VWP_joint,SVWP_joint,DCC_joint,DCC_bivariate_loop,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP_joint,,,,,,,,,,
SVWP_joint,,,,,,,,,,
DCC_joint,,,,0.09,0.94,3.51,0.56,0.56,2.14,0.71
DCC_bivariate_loop,,,0.09,,0.99,4.08,0.55,0.74,2.42,0.75
SW_cross_validated,,,0.94,0.99,,2.51,0.31,1.54,1.13,0.40
SW_15,,,3.51,4.08,2.51,,2.62,4.29,1.52,3.61
SW_30,,,0.56,0.55,0.31,2.62,,1.10,1.37,0.00
SW_60,,,0.56,0.74,1.54,4.29,1.10,,2.84,1.42
SW_120,,,2.14,2.42,1.13,1.52,1.37,2.84,,1.85
sFC,,,0.71,0.75,0.40,3.61,0.00,1.42,1.85,
