,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,,,,,,,,,,,,
DCC_joint,0.024,0.032,0.005,0.002,0.005,0.006,0.006,0.012,0.010,0.038,0.030,0.016
DCC_bivariate_loop,0.034,0.028,0.023,0.028,0.029,0.023,0.024,0.023,0.021,0.037,0.027,0.027
SW_cross_validated,0.053,0.038,0.016,0.013,0.023,0.011,0.015,0.012,0.024,0.019,0.040,0.024
SW_15,0.031,0.028,0.031,0.040,0.027,0.025,0.027,0.021,0.030,0.031,0.022,0.028
SW_30,0.031,0.032,0.021,0.026,0.030,0.022,0.020,0.026,0.024,0.019,0.036,0.026
SW_60,0.025,0.026,0.016,0.039,0.027,0.024,0.021,0.022,0.023,0.036,0.038,0.027
SW_120,0.052,0.042,0.031,0.024,0.023,0.022,0.021,0.029,0.044,0.022,0.041,0.032
sFC,0.058,0.037,0.007,0.005,0.010,0.010,0.007,0.005,0.013,0.026,0.021,0.018
