,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,,,,,,,,,,,,
DCC_joint,0.050,0.050,0.050,0.050,0.051,0.050,0.051,0.051,0.051,0.050,0.050,0.050
DCC_bivariate_loop,0.062,0.062,0.062,0.062,0.062,0.062,0.063,0.062,0.062,0.062,0.061,0.062
SW_cross_validated,0.119,0.118,0.120,0.118,0.118,0.120,0.119,0.120,0.118,0.118,0.119,0.119
SW_15,0.273,0.272,0.272,0.272,0.272,0.272,0.272,0.273,0.272,0.273,0.272,0.272
SW_30,0.200,0.199,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.200,0.199,0.200
SW_60,0.163,0.164,0.165,0.163,0.163,0.165,0.163,0.164,0.163,0.164,0.163,0.164
SW_120,0.142,0.142,0.145,0.143,0.144,0.145,0.144,0.145,0.143,0.143,0.144,0.144
sFC,0.076,0.075,0.077,0.075,0.075,0.076,0.076,0.076,0.075,0.074,0.075,0.076
