,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,,,,,,,,,,,,
DCC_joint,0.052,0.052,0.053,0.053,0.052,0.052,0.053,0.052,0.053,0.051,0.052,0.052
DCC_bivariate_loop,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.059,0.058,0.059,0.059
SW_cross_validated,0.111,0.110,0.111,0.109,0.110,0.111,0.111,0.111,0.110,0.110,0.110,0.110
SW_15,0.166,0.166,0.165,0.166,0.167,0.165,0.165,0.166,0.166,0.167,0.165,0.166
SW_30,0.146,0.145,0.145,0.146,0.146,0.146,0.145,0.145,0.146,0.147,0.146,0.146
SW_60,0.137,0.139,0.140,0.138,0.138,0.140,0.137,0.138,0.139,0.139,0.138,0.139
SW_120,0.130,0.132,0.133,0.132,0.133,0.134,0.132,0.132,0.133,0.132,0.132,0.132
sFC,0.076,0.075,0.077,0.075,0.076,0.077,0.076,0.076,0.076,0.075,0.075,0.076
