,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,,,,,,,,,,,,
DCC_joint,0.019,0.064,0.356,0.355,0.357,0.357,0.357,0.195,0.412,0.105,0.157,0.248
DCC_bivariate_loop,0.030,0.077,0.134,0.165,0.190,0.200,0.205,0.153,0.169,0.102,0.112,0.140
SW_cross_validated,0.107,0.122,0.137,0.306,0.417,0.407,0.346,0.227,0.210,0.153,0.136,0.233
SW_15,0.144,0.189,0.185,0.181,0.170,0.182,0.180,0.171,0.193,0.170,0.160,0.175
SW_30,0.127,0.157,0.168,0.156,0.147,0.152,0.171,0.153,0.166,0.151,0.150,0.154
SW_60,0.110,0.153,0.149,0.147,0.185,0.202,0.275,0.157,0.173,0.153,0.142,0.168
SW_120,0.123,0.146,0.142,0.219,0.337,0.414,0.428,0.216,0.199,0.162,0.136,0.229
sFC,0.056,0.050,0.362,0.359,0.368,0.368,0.361,0.200,0.419,0.125,0.169,0.258
