,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,,,,,,,,,,,,
DCC_joint,0.018,0.019,0.003,0.001,0.003,0.004,0.004,0.002,0.006,0.011,0.008,0.007
DCC_bivariate_loop,0.025,0.023,0.020,0.009,0.022,0.015,0.023,0.018,0.023,0.011,0.018,0.019
SW_cross_validated,0.054,0.041,0.024,0.018,0.020,0.012,0.017,0.013,0.032,0.024,0.035,0.026
SW_15,0.019,0.029,0.023,0.019,0.023,0.027,0.020,0.016,0.020,0.020,0.024,0.022
SW_30,0.022,0.021,0.027,0.021,0.021,0.034,0.027,0.024,0.021,0.018,0.019,0.023
SW_60,0.021,0.024,0.027,0.031,0.037,0.018,0.019,0.017,0.043,0.032,0.031,0.027
SW_120,0.055,0.041,0.026,0.028,0.021,0.020,0.019,0.042,0.056,0.039,0.042,0.035
sFC,0.058,0.036,0.007,0.005,0.010,0.010,0.007,0.005,0.013,0.026,0.021,0.018
