,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,,,,,,,,,,,,
DCC_joint,0.025,0.199,0.358,0.356,0.359,0.359,0.359,0.204,0.416,0.147,0.194,0.271
DCC_bivariate_loop,0.039,0.206,0.194,0.228,0.247,0.250,0.250,0.181,0.247,0.145,0.175,0.197
SW_cross_validated,0.120,0.111,0.149,0.300,0.421,0.413,0.348,0.241,0.182,0.150,0.137,0.234
SW_15,0.273,0.296,0.288,0.297,0.300,0.294,0.284,0.282,0.308,0.275,0.279,0.289
SW_30,0.197,0.230,0.227,0.218,0.219,0.207,0.201,0.214,0.236,0.212,0.218,0.216
SW_60,0.141,0.176,0.156,0.163,0.201,0.193,0.276,0.176,0.180,0.179,0.178,0.184
SW_120,0.138,0.152,0.145,0.222,0.336,0.419,0.437,0.228,0.172,0.160,0.154,0.233
sFC,0.056,0.050,0.362,0.359,0.368,0.368,0.361,0.200,0.419,0.125,0.169,0.258
