,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.080,0.107,0.125,0.145,0.169,,,0.133,0.127,0.110,,0.124
DCC_joint,0.057,0.106,0.140,0.156,0.163,,,0.111,0.163,0.086,,0.123
DCC_bivariate_loop,0.066,0.111,0.119,0.132,0.141,,,0.112,0.136,0.092,,0.114
SW_cross_validated,0.140,0.143,0.154,0.176,0.203,,,0.171,0.155,0.151,,0.161
SW_15,0.226,0.233,0.231,0.232,0.227,,,0.225,0.235,0.228,,0.230
SW_30,0.166,0.177,0.171,0.171,0.171,,,0.170,0.176,0.172,,0.172
SW_60,0.136,0.143,0.142,0.156,0.196,,,0.163,0.148,0.145,,0.154
SW_120,0.126,0.125,0.153,0.214,0.223,,,0.154,0.141,0.136,,0.159
sFC,0.080,0.079,0.187,0.186,0.186,,,0.121,0.209,0.095,,0.143
