,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.050,0.041,0.038,0.036,0.034,,,0.031,0.033,0.037,,0.038
DCC_joint,0.022,0.024,0.019,0.017,0.017,,,0.017,0.022,0.021,,0.020
DCC_bivariate_loop,0.025,0.024,0.020,0.018,0.019,,,0.018,0.020,0.022,,0.021
SW_cross_validated,0.032,0.031,0.029,0.025,0.025,,,0.025,0.030,0.030,,0.028
SW_15,0.018,0.019,0.018,0.020,0.018,,,0.018,0.020,0.018,,0.019
SW_30,0.021,0.021,0.021,0.018,0.022,,,0.021,0.020,0.019,,0.020
SW_60,0.024,0.027,0.026,0.021,0.020,,,0.020,0.023,0.023,,0.023
SW_120,0.035,0.031,0.031,0.022,0.022,,,0.026,0.031,0.031,,0.028
sFC,0.035,0.034,0.014,0.014,0.015,,,0.021,0.013,0.030,,0.022
