,null,constant,periodic_1,periodic_2,periodic_3,checkerboard,stepwise,state_transition,average
VWP,,,0.006,0.015,0.022,0.013,0.005,0.007,0.011
SVWP,,,0.007,0.014,0.022,0.014,0.004,0.007,0.011
DCC_joint,,,0.003,0.004,0.005,0.017,0.002,0.012,0.007
DCC_bivariate_loop,,,0.003,0.004,0.005,0.015,0.002,0.011,0.007
SW_cross_validated,,,0.004,0.009,0.032,0.019,0.003,0.010,0.013
SW_15,,,0.004,0.004,0.005,0.010,0.003,0.012,0.006
SW_30,,,0.005,0.006,0.007,0.013,0.004,0.013,0.008
SW_60,,,0.004,0.009,0.011,0.010,0.003,0.011,0.008
SW_120,,,0.003,0.014,0.013,0.010,0.002,0.010,0.008
sFC,,,,,,,,,
