,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,,,,,,,,,,,,
DCC_joint,0.031,0.031,0.033,0.030,0.032,,,0.016,0.029,0.016,,0.027
DCC_bivariate_loop,0.036,0.032,0.030,0.027,0.028,,,0.018,0.032,0.020,,0.028
SW_cross_validated,0.059,0.053,0.052,0.058,0.076,,,0.038,0.044,0.051,,0.054
SW_15,0.028,0.027,0.032,0.029,0.030,,,0.027,0.029,0.028,,0.029
SW_30,0.039,0.032,0.037,0.033,0.040,,,0.036,0.030,0.032,,0.035
SW_60,0.045,0.044,0.044,0.035,0.026,,,0.029,0.035,0.035,,0.037
SW_120,0.062,0.061,0.057,0.025,0.036,,,0.038,0.045,0.049,,0.047
sFC,0.061,0.057,0.020,0.020,0.018,,,0.027,0.018,0.046,,0.033
