,null,constant,periodic_1,periodic_2,periodic_3,checkerboard,stepwise,state_transition,average
VWP,,,0.081,0.209,0.312,0.186,0.065,0.105,0.160
SVWP,,,0.093,0.201,0.318,0.196,0.050,0.102,0.160
DCC_joint,,,0.041,0.055,0.075,0.245,0.031,0.171,0.103
DCC_bivariate_loop,,,0.037,0.050,0.065,0.209,0.034,0.162,0.093
SW_cross_validated,,,0.051,0.134,0.453,0.268,0.038,0.147,0.182
SW_15,,,0.058,0.055,0.073,0.140,0.046,0.167,0.090
SW_30,,,0.066,0.084,0.099,0.183,0.050,0.179,0.110
SW_60,,,0.057,0.124,0.158,0.147,0.043,0.160,0.115
SW_120,,,0.036,0.197,0.180,0.137,0.031,0.138,0.120
sFC,,,,,,,,,
