,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,,,,,,,,,,,,
DCC_joint,0.150,0.152,0.184,0.196,0.204,,,0.175,0.193,0.157,,0.177
DCC_bivariate_loop,0.153,0.154,0.169,0.178,0.185,,,0.173,0.176,0.159,,0.168
SW_cross_validated,0.204,0.206,0.216,0.236,0.259,,,0.227,0.222,0.213,,0.223
SW_15,0.314,0.318,0.317,0.317,0.317,,,0.317,0.318,0.316,,0.317
SW_30,0.254,0.258,0.256,0.258,0.262,,,0.260,0.258,0.257,,0.258
SW_60,0.210,0.214,0.213,0.226,0.254,,,0.227,0.221,0.217,,0.223
SW_120,0.194,0.198,0.210,0.259,0.264,,,0.210,0.212,0.200,,0.219
sFC,0.080,0.079,0.187,0.186,0.186,,,0.121,0.209,0.095,,0.143
