,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.075,0.141,0.190,0.239,0.303,,,0.227,0.205,0.172,,0.194
DCC_joint,0.059,0.196,0.189,0.221,0.252,,,0.200,0.232,0.147,,0.187
DCC_bivariate_loop,0.071,0.200,0.218,0.250,0.274,,,0.211,0.262,0.156,,0.205
SW_cross_validated,0.161,0.163,0.196,0.245,0.315,,,0.253,0.203,0.198,,0.217
SW_15,0.276,0.299,0.295,0.288,0.283,,,0.284,0.314,0.284,,0.291
SW_30,0.202,0.228,0.215,0.207,0.218,,,0.222,0.239,0.222,,0.219
SW_60,0.162,0.173,0.174,0.224,0.339,,,0.250,0.200,0.195,,0.215
SW_120,0.145,0.139,0.229,0.397,0.414,,,0.237,0.194,0.184,,0.242
sFC,0.081,0.076,0.369,0.368,0.367,,,0.208,0.420,0.137,,0.253
