,null,constant,periodic_1,periodic_2,periodic_3,checkerboard,stepwise,state_transition,average
VWP,,,0.901,0.741,0.541,0.199,0.907,-0.002,0.548
SVWP,,,0.900,0.750,0.500,0.181,0.913,0.001,0.541
DCC_joint,,,0.899,0.820,0.746,0.355,0.893,0.084,0.633
DCC_bivariate_loop,,,0.906,0.835,0.772,0.446,0.895,0.118,0.662
SW_cross_validated,,,0.896,0.785,0.384,0.138,0.913,0.032,0.525
SW_15,,,0.825,0.818,0.800,0.539,0.841,0.236,0.676
SW_30,,,0.872,0.840,0.776,0.476,0.869,0.127,0.660
SW_60,,,0.923,0.801,0.370,0.125,0.895,-0.023,0.515
SW_120,,,0.924,-0.150,-0.296,0.187,0.897,-0.063,0.250
sFC,,,,,,,,,
