,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.058,0.051,0.048,0.044,0.042,,,0.056,0.049,0.048,,0.050
DCC_joint,0.021,0.022,0.017,0.016,0.016,,,0.018,0.017,0.020,,0.018
DCC_bivariate_loop,0.021,0.021,0.019,0.017,0.018,,,0.019,0.018,0.019,,0.019
SW_cross_validated,0.034,0.032,0.033,0.027,0.025,,,0.031,0.032,0.032,,0.031
SW_15,0.013,0.014,0.015,0.013,0.014,,,0.013,0.014,0.012,,0.014
SW_30,0.017,0.017,0.017,0.016,0.018,,,0.016,0.017,0.015,,0.016
SW_60,0.018,0.020,0.020,0.019,0.016,,,0.017,0.020,0.018,,0.019
SW_120,0.031,0.029,0.029,0.020,0.022,,,0.023,0.030,0.028,,0.027
sFC,0.036,0.034,0.014,0.014,0.015,,,0.022,0.013,0.030,,0.022
