,VWP,SVWP,DCC_joint,SW_cross_validated,SW_15,SW_30,SW_60,SW_120,sFC
VWP,-,0.0000,0.0000,0.0000,0.0000,0.183,0.0000,0.0000,0.0000
SVWP,-4.9934,-,0.0000,1.,0.0006,0.0295,0.0284,0.0000,0.0000
DCC_joint,-25.0871,-9.3615,-,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
SW_cross_validated,-5.292,1.7683,19.3883,-,0.0000,0.2978,0.0000,0.0000,0.0000
SW_15,-15.7137,-4.3763,8.7766,-10.2996,-,0.0000,1.,0.0000,0.0000
SW_30,-2.8174,3.3722,23.0506,2.654,13.3911,-,0.0000,0.0000,0.0000
SW_60,-14.9261,-3.3826,11.6856,-9.1209,1.9899,-12.4354,-,0.0000,0.0000
SW_120,-85.4754,-38.9503,-65.0258,-79.0449,-69.3676,-86.8187,-81.0841,-,1.
sFC,-94.033,-39.8662,-74.2356,-87.0203,-77.1375,-96.7537,-93.3389,0.1457,-
