,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.023,0.032,0.100,0.138,0.184,,,0.342,0.221,0.205,,0.156
DCC_joint,0.066,0.024,0.232,0.320,0.389,,,0.314,0.281,0.198,,0.228
DCC_bivariate_loop,0.077,0.027,0.224,0.292,0.344,,,0.297,0.280,0.200,,0.218
SW_cross_validated,0.118,0.047,0.150,0.194,0.256,,,0.292,0.203,0.211,,0.184
SW_15,0.281,0.117,0.182,0.191,0.214,,,0.260,0.197,0.256,,0.212
SW_30,0.193,0.077,0.141,0.193,0.283,,,0.251,0.194,0.228,,0.195
SW_60,0.142,0.055,0.181,0.364,0.599,,,0.375,0.236,0.228,,0.272
SW_120,0.118,0.044,0.360,0.720,0.749,,,0.370,0.301,0.222,,0.361
sFC,0.060,0.021,0.693,0.693,0.693,,,0.367,0.795,0.199,,0.440
