,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.073,0.063,0.132,0.167,0.186,,,0.187,0.174,0.118,,0.138
DCC_joint,0.069,0.056,0.188,0.225,0.249,,,0.173,0.226,0.113,,0.162
DCC_bivariate_loop,0.076,0.063,0.126,0.153,0.178,,,0.155,0.148,0.115,,0.127
SW_cross_validated,0.158,0.172,0.193,0.228,0.252,,,0.224,0.237,0.183,,0.206
SW_15,0.292,0.308,0.298,0.302,0.304,,,0.298,0.312,0.298,,0.301
SW_30,0.214,0.223,0.217,0.223,0.244,,,0.229,0.237,0.225,,0.227
SW_60,0.167,0.174,0.175,0.228,0.324,,,0.229,0.207,0.190,,0.212
SW_120,0.162,0.172,0.220,0.374,0.386,,,0.226,0.232,0.189,,0.245
sFC,0.056,0.039,0.330,0.330,0.330,,,0.179,0.377,0.105,,0.218
