,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,,,,,,,,,,,,
DCC_joint,0.023,0.024,0.019,0.017,0.016,,,0.010,0.018,0.013,,0.017
DCC_bivariate_loop,0.025,0.026,0.021,0.020,0.020,,,0.016,0.015,0.016,,0.020
SW_cross_validated,0.024,0.025,0.023,0.020,0.021,,,0.022,0.021,0.019,,0.022
SW_15,0.019,0.019,0.021,0.021,0.022,,,0.020,0.022,0.018,,0.020
SW_30,0.020,0.022,0.021,0.021,0.021,,,0.020,0.020,0.018,,0.020
SW_60,0.021,0.024,0.020,0.017,0.012,,,0.015,0.016,0.018,,0.018
SW_120,0.028,0.034,0.024,0.012,0.009,,,0.019,0.017,0.023,,0.021
sFC,0.022,0.025,0.004,0.004,0.005,,,0.008,0.004,0.011,,0.010
