,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.024,0.065,0.147,0.183,0.215,,,0.346,0.267,0.208,,0.182
DCC_joint,0.066,0.042,0.235,0.323,0.393,,,0.315,0.285,0.198,,0.232
DCC_bivariate_loop,0.076,0.044,0.227,0.294,0.347,,,0.298,0.283,0.201,,0.221
SW_cross_validated,0.105,0.182,0.182,0.239,0.292,,,0.297,0.295,0.232,,0.228
SW_15,0.245,0.320,0.291,0.301,0.315,,,0.292,0.341,0.292,,0.300
SW_30,0.176,0.229,0.206,0.237,0.310,,,0.265,0.287,0.250,,0.245
SW_60,0.129,0.179,0.177,0.363,0.604,,,0.368,0.299,0.248,,0.296
SW_120,0.105,0.178,0.337,0.727,0.751,,,0.359,0.376,0.242,,0.385
sFC,0.060,0.022,0.693,0.693,0.693,,,0.367,0.795,0.199,,0.440
