,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,,,,,,,,,,,,
DCC_joint,0.060,0.042,0.185,0.222,0.246,,,0.169,0.225,0.108,,0.157
DCC_bivariate_loop,0.068,0.050,0.120,0.149,0.173,,,0.151,0.143,0.110,,0.121
SW_cross_validated,0.100,0.081,0.131,0.158,0.184,,,0.178,0.156,0.129,,0.140
SW_15,0.230,0.197,0.205,0.207,0.211,,,0.224,0.210,0.222,,0.213
SW_30,0.160,0.136,0.147,0.159,0.187,,,0.177,0.159,0.169,,0.162
SW_60,0.119,0.096,0.129,0.197,0.299,,,0.201,0.146,0.144,,0.166
SW_120,0.102,0.079,0.191,0.350,0.363,,,0.194,0.165,0.135,,0.197
sFC,0.056,0.038,0.330,0.330,0.330,,,0.179,0.377,0.105,,0.218
