,null,constant,periodic_1,periodic_2,periodic_3,checkerboard,stepwise,state_transition,average
VWP,,,0.012,0.014,0.019,0.217,0.014,0.074,0.058
SVWP,,,0.012,0.015,0.074,0.206,0.015,0.076,0.066
DCC_joint,,,0.020,0.033,0.040,0.120,0.013,0.201,0.071
DCC_bivariate_loop,,,0.018,0.025,0.031,0.099,0.012,0.198,0.064
SW_cross_validated,,,0.021,0.015,0.047,0.294,0.014,0.136,0.088
SW_15,,,0.022,0.024,0.027,0.083,0.024,0.150,0.055
SW_30,,,0.014,0.019,0.030,0.089,0.017,0.156,0.054
SW_60,,,0.009,0.027,0.082,0.077,0.015,0.132,0.057
SW_120,,,0.005,0.138,0.149,0.063,0.009,0.099,0.077
sFC,,,,,,,,,
