,null,constant,periodic_1,periodic_2,periodic_3,checkerboard,stepwise,state_transition,average
VWP,,,0.001,0.001,0.001,0.015,0.001,0.005,0.004
SVWP,,,0.001,0.001,0.005,0.015,0.001,0.005,0.005
DCC_joint,,,0.001,0.002,0.003,0.008,0.001,0.014,0.005
DCC_bivariate_loop,,,0.001,0.002,0.002,0.007,0.001,0.014,0.005
SW_cross_validated,,,0.001,0.001,0.003,0.021,0.001,0.010,0.006
SW_15,,,0.002,0.002,0.002,0.006,0.002,0.011,0.004
SW_30,,,0.001,0.001,0.002,0.006,0.001,0.011,0.004
SW_60,,,0.001,0.002,0.006,0.005,0.001,0.009,0.004
SW_120,,,0.000,0.010,0.011,0.004,0.001,0.007,0.005
sFC,,,,,,,,,
