,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,,,,,,,,,,,,
DCC_joint,0.023,0.025,0.019,0.018,0.016,,,0.011,0.018,0.014,,0.018
DCC_bivariate_loop,0.025,0.026,0.021,0.022,0.021,,,0.016,0.016,0.017,,0.020
SW_cross_validated,0.019,0.021,0.029,0.030,0.026,,,0.021,0.032,0.018,,0.025
SW_15,0.020,0.027,0.024,0.025,0.025,,,0.021,0.027,0.021,,0.024
SW_30,0.018,0.024,0.021,0.023,0.022,,,0.020,0.024,0.019,,0.021
SW_60,0.019,0.022,0.018,0.018,0.014,,,0.014,0.021,0.017,,0.018
SW_120,0.026,0.036,0.026,0.012,0.015,,,0.020,0.024,0.024,,0.023
sFC,0.023,0.025,0.005,0.004,0.005,,,0.008,0.004,0.011,,0.011
