,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.040,0.036,0.050,0.047,0.058,,,0.043,0.040,0.018,,0.041
DCC_joint,0.044,0.027,0.040,0.046,0.045,,,0.027,0.030,0.014,,0.034
DCC_bivariate_loop,0.051,0.028,0.037,0.040,0.038,,,0.026,0.029,0.018,,0.033
SW_cross_validated,0.042,0.035,0.046,0.044,0.048,,,0.055,0.044,0.025,,0.042
SW_15,0.042,0.050,0.045,0.048,0.047,,,0.043,0.050,0.039,,0.046
SW_30,0.040,0.046,0.040,0.043,0.039,,,0.038,0.038,0.033,,0.040
SW_60,0.039,0.039,0.041,0.032,0.020,,,0.019,0.033,0.026,,0.031
SW_120,0.051,0.043,0.047,0.018,0.019,,,0.022,0.045,0.029,,0.034
sFC,0.045,0.015,0.007,0.007,0.006,,,0.008,0.008,0.012,,0.013
