,null,constant,periodic_1,periodic_2,periodic_3,checkerboard,stepwise,state_transition,average
VWP,,,0.984,0.972,0.958,0.326,0.951,-0.025,0.695
SVWP,,,0.984,0.972,0.951,0.308,0.951,-0.026,0.690
DCC_joint,,,0.945,0.892,0.844,0.578,0.937,0.127,0.720
DCC_bivariate_loop,,,0.947,0.908,0.869,0.605,0.938,0.190,0.743
SW_cross_validated,,,0.969,0.965,0.934,0.464,0.955,0.061,0.725
SW_15,,,0.921,0.914,0.904,0.728,0.914,0.353,0.789
SW_30,,,0.965,0.952,0.924,0.722,0.940,0.218,0.787
SW_60,,,0.983,0.934,0.597,0.235,0.938,-0.061,0.605
SW_120,,,0.953,-0.200,-0.444,0.316,0.920,-0.118,0.238
sFC,,,,,,,,,
