,null,constant,periodic_1,periodic_2,periodic_3,stepwise,state_transition
0,99,41,49,41,25,25,97
1,89,77,59,23,23,27,49
2,67,49,33,21,31,27,89
3,89,99,37,21,25,23,93
4,59,95,55,27,25,23,77
5,83,71,37,21,23,63,99
6,97,99,29,23,35,25,71
7,99,97,33,25,29,27,53
8,83,99,33,33,25,25,59
9,95,57,31,29,25,21,77
10,75,91,27,21,21,37,55
11,99,97,51,33,31,27,99
12,91,59,53,29,33,29,61
13,95,73,35,27,25,23,79
14,57,97,41,29,35,51,89
15,63,93,57,21,21,25,99
16,51,81,45,31,25,35,89
17,51,57,31,29,31,99,55
18,95,83,29,31,25,27,73
19,83,99,39,35,29,99,95
20,95,77,49,37,27,45,87
21,53,73,39,25,25,73,41
22,91,43,67,23,29,23,95
23,59,65,57,41,27,27,99
24,89,49,39,29,23,23,41
25,93,95,23,45,27,31,77
26,49,53,51,37,27,73,97
27,65,71,31,31,23,35,71
28,95,99,61,21,27,99,83
29,57,69,53,25,33,31,93
30,99,53,43,35,25,23,91
31,97,93,39,39,29,35,91
32,95,57,55,25,31,47,67
33,81,99,73,31,25,29,71
34,93,97,33,35,27,37,97
35,99,95,23,41,25,31,97
36,97,99,37,33,25,23,97
37,27,93,79,25,29,95,51
38,61,81,41,43,29,21,83
39,41,65,39,39,33,25,81
40,77,97,59,23,31,25,99
41,79,83,31,27,23,67,99
42,87,95,45,27,21,43,97
43,97,89,23,23,37,31,85
44,83,41,57,21,37,29,53
45,97,73,45,25,27,49,99
46,69,97,45,27,27,83,97
47,99,83,43,21,21,37,93
48,99,99,39,33,23,39,93
49,83,99,47,29,21,37,89
50,85,89,57,43,25,87,57
51,95,63,41,45,25,35,99
52,61,49,61,33,21,43,99
53,95,87,49,35,23,27,97
54,95,99,35,33,21,39,79
55,99,65,31,33,23,45,97
56,99,55,33,23,35,49,99
57,47,75,25,27,29,31,45
58,57,97,49,21,25,23,89
59,89,75,49,27,25,27,99
60,91,85,37,23,37,51,85
61,81,89,51,29,23,35,65
62,97,81,33,31,31,29,73
63,51,95,51,35,21,79,97
64,57,79,39,33,25,67,61
65,99,95,55,31,27,33,81
66,97,83,41,29,23,23,97
67,69,93,35,21,31,25,93
68,93,99,57,49,31,25,97
69,87,59,37,21,25,33,39
70,93,91,39,39,25,31,93
71,97,73,45,27,23,21,99
72,57,99,45,29,23,33,99
73,97,99,43,31,25,27,89
74,97,99,45,21,21,31,61
75,55,85,45,35,37,43,41
76,91,99,57,33,33,21,31
77,97,63,57,23,25,27,39
78,99,99,31,41,23,31,87
79,95,51,57,23,23,47,99
80,95,97,51,21,33,29,69
81,99,93,35,37,25,53,89
82,99,61,37,29,27,35,99
83,97,87,35,31,27,23,99
84,73,93,35,33,21,23,55
85,69,91,47,31,29,29,77
86,81,75,45,33,25,29,41
87,31,97,43,23,33,49,87
88,97,93,29,25,31,55,91
89,87,49,43,23,29,53,89
90,97,81,41,25,25,25,79
91,83,99,69,27,21,31,93
92,53,55,27,33,29,33,73
93,99,79,31,31,25,31,99
94,53,65,29,27,25,23,99
95,81,71,35,21,33,35,99
96,91,99,43,31,35,51,97
97,99,87,33,29,31,25,51
98,99,99,43,37,29,29,97
99,91,99,53,29,23,27,95
100,89,43,41,25,27,99,83
101,99,91,51,35,27,21,99
102,61,83,71,23,23,25,39
103,69,83,43,29,33,33,99
104,89,81,63,27,25,55,97
105,95,99,51,29,23,37,39
106,43,93,43,33,31,35,95
107,97,81,49,37,35,27,91
108,75,87,45,37,23,21,71
109,99,47,49,23,25,87,89
110,97,59,33,37,23,73,79
111,99,75,53,21,33,45,97
112,99,63,31,25,21,39,85
113,97,83,33,23,21,29,97
114,83,97,47,21,23,51,75
115,99,55,45,27,21,33,97
116,67,63,37,31,45,91,53
117,99,93,29,37,31,27,91
118,89,69,29,29,21,29,93
119,87,89,35,25,39,21,91
120,65,31,57,33,25,27,97
121,85,53,41,27,25,51,99
122,99,83,37,35,33,23,67
123,83,51,69,31,21,35,65
124,57,93,23,21,25,53,99
125,95,99,31,25,27,31,47
126,87,61,41,29,31,31,91
127,87,97,43,23,25,31,67
128,59,77,45,37,25,21,23
129,95,49,39,31,35,43,69
130,95,73,59,25,35,51,79
131,99,97,27,33,27,39,99
132,59,99,33,37,33,21,99
133,73,83,57,25,21,31,47
134,83,95,45,25,21,35,93
135,99,37,35,21,29,23,91
136,91,97,25,31,35,21,87
137,95,71,43,31,33,29,93
138,59,67,49,33,21,29,99
139,99,71,23,21,37,29,93
140,63,99,35,29,23,37,71
141,85,71,45,41,27,95,89
142,85,91,45,41,21,31,91
143,97,83,81,23,25,57,91
144,97,83,49,27,33,37,97
145,75,81,55,21,25,23,79
146,99,65,49,23,29,87,83
147,99,89,47,43,39,27,97
148,71,87,35,31,33,93,49
149,55,79,27,35,43,39,83
150,41,87,61,51,25,25,69
151,73,99,67,29,35,23,95
152,63,93,41,23,25,55,99
153,77,83,47,23,21,31,89
154,99,85,35,27,31,39,99
155,61,43,25,27,29,21,91
156,41,93,39,21,23,31,95
157,99,79,35,29,29,43,99
158,69,99,39,31,29,31,73
159,77,87,31,27,25,33,87
160,99,95,45,27,25,51,99
161,67,89,25,21,25,33,69
162,69,95,37,25,21,21,87
163,31,75,45,37,21,41,59
164,65,91,35,41,23,29,95
165,95,65,25,31,25,23,77
166,93,77,37,27,25,27,99
167,89,57,59,25,31,31,75
168,91,93,31,31,21,21,75
169,53,85,57,25,23,25,97
170,99,73,77,41,27,51,93
171,21,79,63,37,27,23,97
172,85,47,47,39,29,25,95
173,63,97,41,35,23,31,91
174,81,99,41,21,29,27,89
175,67,85,61,35,21,25,89
176,85,93,41,27,25,27,79
177,41,97,51,27,27,27,85
178,79,83,37,37,31,33,75
179,49,99,21,29,35,45,93
180,75,99,43,37,25,29,99
181,93,99,73,45,25,21,95
182,99,99,51,21,25,27,55
183,93,97,43,39,23,29,99
184,99,95,65,47,31,27,75
185,95,69,23,41,31,29,97
186,97,59,57,27,21,25,99
187,89,39,81,27,29,35,99
188,81,71,27,29,21,23,95
189,89,55,41,27,21,95,99
190,99,73,39,27,21,53,99
191,99,99,35,25,25,25,73
192,55,99,31,35,25,23,99
193,73,61,47,31,25,23,49
194,89,93,45,37,39,25,39
195,93,79,31,51,27,41,31
196,99,99,39,35,21,37,91
197,99,81,25,23,23,57,99
198,83,93,33,23,21,39,79
199,87,91,47,33,25,27,57
