,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,,,,,,,,,,,,
DCC_joint,0.044,0.017,0.039,0.045,0.045,,,0.027,0.030,0.013,,0.033
DCC_bivariate_loop,0.051,0.017,0.036,0.039,0.038,,,0.026,0.029,0.017,,0.032
SW_cross_validated,0.043,0.018,0.038,0.038,0.054,,,0.063,0.034,0.020,,0.039
SW_15,0.040,0.028,0.035,0.036,0.037,,,0.037,0.034,0.034,,0.035
SW_30,0.039,0.020,0.032,0.032,0.036,,,0.035,0.026,0.029,,0.031
SW_60,0.040,0.017,0.030,0.029,0.020,,,0.018,0.018,0.024,,0.025
SW_120,0.050,0.022,0.037,0.021,0.015,,,0.021,0.022,0.027,,0.027
sFC,0.045,0.015,0.007,0.007,0.006,,,0.008,0.008,0.012,,0.013
