,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point
0,95,101,109,67,43,33,45,67,91,139,171
1,169,147,69,67,53,47,43,71,63,179,173
2,179,179,79,41,65,51,33,39,179,87,179
3,167,105,93,43,35,43,31,65,87,177,109
4,125,173,135,37,63,41,35,81,65,73,61
5,163,173,99,37,65,29,45,37,43,57,151
6,123,161,63,51,63,39,37,67,33,121,97
7,163,139,45,65,41,49,179,79,57,95,179
8,141,163,49,49,59,57,39,91,89,167,159
9,119,147,117,57,35,63,37,67,121,45,179
