,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.023,0.010,0.019,0.017,0.015,0.061,0.031,0.005,0.014,0.013,0.011,0.020
DCC_joint,0.015,0.008,0.011,0.012,0.014,0.005,0.014,0.007,0.009,0.008,0.008,0.010
DCC_bivariate_loop,0.017,0.011,0.013,0.015,0.015,0.010,0.014,0.010,0.006,0.008,0.010,0.012
SW_cross_validated,0.013,0.011,0.014,0.018,0.023,0.015,0.025,0.010,0.022,0.015,0.015,0.016
SW_15,0.012,0.013,0.012,0.011,0.010,0.012,0.011,0.009,0.012,0.016,0.010,0.012
SW_30,0.012,0.017,0.011,0.013,0.009,0.011,0.018,0.007,0.011,0.010,0.011,0.012
SW_60,0.015,0.017,0.017,0.014,0.012,0.011,0.014,0.009,0.012,0.007,0.011,0.013
SW_120,0.017,0.010,0.018,0.013,0.012,0.007,0.008,0.010,0.049,0.010,0.012,0.015
sFC,0.023,0.011,0.002,0.003,0.005,0.003,0.002,0.002,0.004,0.007,0.006,0.006
