,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.013,0.014,0.016,0.034,0.033,0.186,0.104,,0.027,0.010,0.021,0.046
DCC_joint,0.028,0.019,0.022,0.037,0.035,0.021,0.037,,0.019,0.013,0.027,0.026
DCC_bivariate_loop,0.042,0.021,0.024,0.031,0.031,0.019,0.030,,0.020,0.014,0.024,0.026
SW_cross_validated,0.030,0.018,0.015,0.035,0.034,0.052,0.091,,0.026,0.019,0.025,0.035
SW_15,0.027,0.014,0.026,0.014,0.027,0.017,0.015,,0.018,0.016,0.024,0.020
SW_30,0.035,0.016,0.017,0.018,0.021,0.023,0.020,,0.017,0.020,0.015,0.020
SW_60,0.026,0.017,0.020,0.027,0.036,0.018,0.021,,0.022,0.016,0.025,0.023
SW_120,0.031,0.025,0.026,0.031,0.020,0.009,0.011,,0.013,0.021,0.022,0.021
sFC,0.026,0.016,0.002,0.004,0.009,0.003,0.003,,0.003,0.006,0.005,0.008
