,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.061,0.061,0.105,0.134,0.148,0.222,0.262,0.155,0.144,0.100,0.089,0.135
DCC_joint,0.062,0.055,0.142,0.172,0.185,0.195,0.202,0.138,0.165,0.090,0.102,0.137
DCC_bivariate_loop,0.070,0.060,0.097,0.121,0.129,0.141,0.146,0.118,0.122,0.088,0.087,0.107
SW_cross_validated,0.138,0.143,0.151,0.186,0.187,0.209,0.227,0.184,0.183,0.173,0.148,0.175
SW_15,0.285,0.291,0.282,0.285,0.284,0.284,0.286,0.284,0.297,0.287,0.281,0.286
SW_30,0.216,0.214,0.215,0.214,0.212,0.215,0.222,0.218,0.221,0.217,0.209,0.216
SW_60,0.164,0.162,0.165,0.169,0.181,0.210,0.246,0.178,0.175,0.178,0.167,0.182
SW_120,0.141,0.141,0.146,0.189,0.266,0.323,0.344,0.189,0.187,0.164,0.147,0.203
sFC,0.041,0.029,0.270,0.270,0.271,0.271,0.270,0.149,0.312,0.083,0.122,0.190
