,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.010,0.062,0.091,0.143,0.179,0.411,0.531,,0.198,0.168,0.141,0.193
DCC_joint,0.045,0.033,0.174,0.241,0.267,0.301,0.307,,0.215,0.156,0.155,0.189
DCC_bivariate_loop,0.063,0.045,0.166,0.224,0.251,0.271,0.287,,0.215,0.157,0.148,0.183
SW_cross_validated,0.081,0.137,0.115,0.175,0.210,0.247,0.298,,0.225,0.195,0.144,0.183
SW_15,0.230,0.268,0.243,0.250,0.259,0.253,0.263,,0.296,0.248,0.245,0.255
SW_30,0.182,0.198,0.184,0.184,0.200,0.198,0.228,,0.229,0.194,0.178,0.197
SW_60,0.138,0.154,0.130,0.164,0.225,0.308,0.413,,0.201,0.185,0.151,0.207
SW_120,0.099,0.139,0.130,0.287,0.485,0.629,0.676,,0.252,0.202,0.144,0.305
sFC,0.024,0.030,0.568,0.568,0.571,0.568,0.569,,0.654,0.162,0.245,0.396
