,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.026,0.006,0.014,0.019,0.014,0.086,0.048,,0.017,0.007,0.010,0.025
DCC_joint,0.014,0.011,0.011,0.012,0.014,0.004,0.013,,0.012,0.010,0.007,0.011
DCC_bivariate_loop,0.016,0.015,0.011,0.012,0.014,0.008,0.013,,0.010,0.010,0.012,0.012
SW_cross_validated,0.021,0.014,0.013,0.018,0.016,0.014,0.029,,0.022,0.014,0.017,0.018
SW_15,0.013,0.015,0.017,0.016,0.014,0.014,0.011,,0.012,0.009,0.010,0.013
SW_30,0.013,0.017,0.012,0.018,0.011,0.013,0.012,,0.009,0.010,0.010,0.012
SW_60,0.012,0.018,0.011,0.013,0.014,0.014,0.010,,0.015,0.009,0.013,0.013
SW_120,0.020,0.016,0.015,0.015,0.011,0.005,0.006,,0.027,0.008,0.013,0.014
sFC,0.023,0.011,0.002,0.003,0.005,0.003,0.002,,0.004,0.007,0.006,0.006
