,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.010,0.054,0.083,0.124,0.161,0.407,0.527,0.296,0.174,0.165,0.137,0.194
DCC_joint,0.047,0.058,0.178,0.238,0.265,0.294,0.302,0.234,0.219,0.160,0.156,0.195
DCC_bivariate_loop,0.065,0.067,0.176,0.226,0.260,0.274,0.292,0.222,0.224,0.161,0.153,0.193
SW_cross_validated,0.093,0.067,0.121,0.155,0.205,0.229,0.283,0.214,0.178,0.178,0.123,0.168
SW_15,0.290,0.167,0.214,0.206,0.210,0.195,0.211,0.234,0.206,0.252,0.225,0.219
SW_30,0.214,0.130,0.159,0.145,0.163,0.153,0.178,0.187,0.171,0.192,0.160,0.168
SW_60,0.161,0.100,0.118,0.150,0.211,0.294,0.400,0.195,0.163,0.179,0.132,0.191
SW_120,0.113,0.089,0.143,0.294,0.484,0.627,0.676,0.304,0.194,0.186,0.127,0.294
sFC,0.024,0.029,0.568,0.568,0.571,0.568,0.569,0.310,0.654,0.162,0.245,0.388
