,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.013,0.018,0.025,0.038,0.037,0.182,0.096,0.029,0.023,0.009,0.023,0.045
DCC_joint,0.027,0.018,0.020,0.041,0.036,0.021,0.037,0.023,0.018,0.010,0.028,0.025
DCC_bivariate_loop,0.041,0.024,0.020,0.036,0.031,0.020,0.032,0.016,0.017,0.012,0.027,0.025
SW_cross_validated,0.027,0.020,0.023,0.034,0.037,0.043,0.087,0.019,0.024,0.022,0.029,0.033
SW_15,0.040,0.023,0.028,0.023,0.028,0.033,0.035,0.021,0.022,0.028,0.018,0.027
SW_30,0.040,0.028,0.021,0.038,0.027,0.023,0.033,0.022,0.010,0.023,0.020,0.026
SW_60,0.029,0.023,0.034,0.045,0.039,0.015,0.021,0.020,0.018,0.019,0.021,0.026
SW_120,0.029,0.028,0.045,0.036,0.020,0.010,0.015,0.007,0.066,0.017,0.022,0.027
sFC,0.026,0.017,0.002,0.004,0.009,0.003,0.003,0.004,0.003,0.006,0.005,0.007
