,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point
0,1.088,2.031,0.495,0.389,0.182,0.162,0.162,0.183,0.272,1.980,1.369
1,1.621,2.096,0.427,0.236,0.140,0.162,0.162,0.265,0.292,1.619,1.369
2,1.513,2.156,0.502,0.179,0.172,0.162,0.162,0.283,0.283,1.610,1.369
3,1.485,2.543,0.487,0.235,0.146,0.162,0.162,0.187,0.357,1.597,1.369
4,1.237,2.280,0.657,0.157,0.163,0.162,0.162,0.179,0.306,1.676,1.369
5,1.432,2.492,0.609,0.242,0.193,0.162,0.162,0.182,0.281,1.704,1.369
6,1.593,2.281,0.457,0.201,0.165,0.162,0.162,0.153,0.226,1.942,1.369
7,0.698,1.615,0.503,0.221,0.147,0.162,0.162,0.241,0.299,1.501,1.369
8,1.565,2.482,0.313,0.234,0.117,0.162,0.162,0.160,0.325,1.596,1.369
9,1.516,2.147,0.485,0.302,0.137,0.162,0.162,0.210,0.218,1.500,1.369
10,1.375,2.134,0.408,0.243,0.166,0.162,0.162,0.265,0.329,1.827,1.369
11,1.322,2.169,0.624,0.196,0.147,0.162,0.162,0.178,0.297,1.661,1.369
12,1.287,2.141,0.318,0.249,0.184,0.162,0.162,0.210,0.290,1.351,1.369
13,1.563,2.389,0.691,0.201,0.139,0.162,0.162,0.181,0.290,1.649,1.369
14,1.353,2.453,0.404,0.213,0.177,0.162,0.162,0.215,0.325,1.339,1.369
15,1.366,1.799,0.667,0.220,0.165,0.162,0.162,0.329,0.307,2.136,1.369
16,1.326,2.156,0.315,0.173,0.195,0.162,0.162,0.165,0.307,1.420,1.369
17,1.504,2.542,0.639,0.244,0.125,0.162,0.162,0.322,0.301,1.447,1.369
18,1.485,2.245,0.672,0.277,0.134,0.162,0.162,0.184,0.298,1.781,1.369
19,0.947,2.542,0.320,0.195,0.146,0.162,0.162,0.177,0.310,1.636,1.369
20,1.681,2.702,0.658,0.240,0.191,0.162,0.162,0.174,0.263,1.868,1.369
21,1.391,2.662,0.420,0.366,0.158,0.162,0.162,0.185,0.217,1.580,1.369
22,1.372,0.809,0.647,0.245,0.157,0.162,0.162,0.169,0.293,1.760,1.369
23,1.356,2.237,0.654,0.198,0.194,0.162,0.162,0.150,0.288,1.126,1.369
24,1.646,2.332,0.638,0.258,0.189,0.162,0.162,0.142,0.272,1.642,1.369
25,1.115,1.209,0.732,0.257,0.186,0.162,0.162,0.220,0.294,1.619,1.369
26,1.347,1.958,0.658,0.389,0.157,0.162,0.162,0.223,0.312,1.873,1.369
27,1.233,2.444,0.381,0.178,0.177,0.162,0.162,0.269,0.270,1.944,1.369
28,1.095,2.207,0.733,0.182,0.182,0.162,0.162,0.169,0.297,0.389,1.369
29,1.394,1.473,0.718,0.306,0.163,0.162,0.162,0.225,0.292,1.742,1.369
30,1.213,2.567,0.596,0.183,0.154,0.162,0.162,0.196,0.198,1.899,1.369
31,1.626,2.639,0.497,0.234,0.178,0.162,0.162,0.193,0.256,1.705,1.369
32,1.414,1.742,0.339,0.232,0.193,0.162,0.162,0.149,0.225,1.874,1.369
33,0.547,2.649,0.396,0.307,0.185,0.162,0.162,0.168,0.299,2.064,1.369
34,1.648,2.248,0.447,0.170,0.151,0.162,0.162,0.199,0.273,1.543,1.369
35,1.126,2.480,0.351,0.298,0.135,0.162,0.162,0.178,0.307,1.892,1.369
36,1.363,2.376,0.348,0.198,0.138,0.162,0.162,0.205,0.306,1.760,1.369
