,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point
0,0.886,0.854,1.407,0.967,1.407,0.934,0.934,0.907,0.922,0.852,0.874
1,0.859,0.839,1.229,0.968,1.046,0.934,0.934,0.869,0.790,0.856,0.874
2,0.853,0.820,1.086,1.257,1.385,0.934,0.934,0.998,0.909,0.825,0.874
3,0.851,0.711,1.118,0.941,1.014,0.934,0.934,0.889,1.444,0.847,0.874
4,0.902,0.850,0.935,1.011,1.091,0.934,0.934,0.886,0.963,0.861,0.874
5,0.899,0.811,1.079,1.099,1.023,0.934,0.934,0.857,0.778,0.849,0.874
6,0.847,0.736,1.366,1.019,1.049,0.934,0.934,1.273,0.934,0.851,0.874
7,0.852,0.714,1.320,1.062,1.039,0.934,0.934,1.004,0.890,0.858,0.874
8,0.841,0.825,0.950,1.165,0.893,0.934,0.934,0.913,0.885,0.860,0.874
9,0.855,0.685,1.386,1.217,1.053,0.934,0.934,1.063,0.790,0.859,0.874
10,0.862,0.849,1.296,1.034,0.913,0.934,0.934,1.304,0.793,0.846,0.874
11,0.850,0.804,0.958,1.210,0.904,0.934,0.934,0.830,0.905,0.850,0.874
12,0.886,0.859,1.012,1.093,0.909,0.934,0.934,1.482,0.956,0.870,0.874
13,0.903,0.757,1.086,1.032,1.153,0.934,0.934,0.891,0.842,0.834,0.874
14,0.876,0.803,1.181,0.902,1.315,0.934,0.934,0.950,0.923,0.894,0.874
15,0.857,0.940,1.038,1.117,0.864,0.934,0.934,0.886,0.906,0.826,0.874
16,0.833,0.828,1.176,1.312,1.355,0.934,0.934,0.852,0.826,0.845,0.874
17,0.862,0.808,1.033,0.861,1.170,0.934,0.934,0.923,0.920,0.890,0.874
18,0.868,0.775,0.927,1.236,0.987,0.934,0.934,0.932,0.950,0.905,0.874
19,0.932,0.837,1.037,1.105,1.115,0.934,0.934,0.873,0.807,0.878,0.874
20,0.845,0.814,1.020,1.069,1.165,0.934,0.934,0.875,0.993,0.835,0.874
21,0.861,0.816,1.149,1.237,0.957,0.934,0.934,0.949,0.907,0.821,0.874
22,0.937,0.821,1.242,0.899,0.919,0.934,0.934,0.947,0.841,0.866,0.874
23,0.884,0.813,0.974,1.253,1.149,0.934,0.934,0.873,0.953,0.897,0.874
24,0.847,0.820,0.997,1.114,1.003,0.934,0.934,1.123,0.913,0.899,0.874
25,0.921,0.805,1.054,1.305,1.188,0.934,0.934,0.999,0.920,0.818,0.874
26,0.863,0.848,0.959,1.152,1.023,0.934,0.934,0.909,0.837,0.807,0.874
27,0.869,0.830,1.055,1.083,0.975,0.934,0.934,1.567,1.062,0.849,0.874
28,0.878,0.840,1.141,1.124,1.067,0.934,0.934,1.249,0.951,1.112,0.874
29,0.844,0.804,1.154,1.261,0.825,0.934,0.934,1.128,0.852,0.838,0.874
30,0.854,0.824,1.056,0.941,0.911,0.934,0.934,0.857,0.906,0.866,0.874
31,0.864,0.825,0.996,0.997,1.202,0.934,0.934,0.955,0.920,0.846,0.874
32,0.882,0.826,1.150,1.062,0.978,0.934,0.934,0.859,0.783,0.824,0.874
33,0.900,0.822,1.033,1.057,1.163,0.934,0.934,1.071,0.889,0.841,0.874
34,0.862,0.800,0.934,1.034,1.090,0.934,0.934,0.971,0.841,0.846,0.874
35,0.902,0.813,1.157,1.013,1.160,0.934,0.934,0.938,0.894,0.840,0.874
