,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,checkerboard,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.011,0.021,0.022,0.014,0.007,0.015,0.095,,0.011,0.007,0.007,0.021
DCC_joint,0.015,0.014,0.015,0.015,0.010,0.009,0.008,,0.019,0.006,0.012,0.012
DCC_bivariate_loop,0.017,0.015,0.015,0.015,0.012,0.010,0.014,,0.007,0.008,0.012,0.012
SW_cross_validated,0.017,0.018,0.022,0.016,0.015,0.015,0.007,,0.014,0.009,0.020,0.015
SW_15,0.014,0.015,0.013,0.014,0.013,0.013,0.010,,0.015,0.005,0.017,0.013
SW_30,0.017,0.019,0.017,0.012,0.014,0.014,0.010,,0.013,0.009,0.018,0.014
SW_60,0.016,0.015,0.018,0.011,0.011,0.015,0.011,,0.009,0.004,0.015,0.012
SW_120,0.013,0.021,0.018,0.013,0.004,0.008,0.006,,0.007,0.009,0.011,0.011
sFC,0.013,0.015,0.003,0.002,0.002,0.001,0.002,,0.001,0.006,0.002,0.005
