,null,constant,periodic_1,periodic_2,periodic_3,periodic_4,periodic_5,boxcar,stepwise,state_transition,change_point,average
VWP_joint,,,,,,,,,,,,
SVWP_joint,0.010,0.020,0.026,0.017,0.027,0.015,0.062,0.025,0.013,0.013,0.015,0.022
DCC_joint,0.012,0.016,0.016,0.015,0.011,0.009,0.009,0.015,0.020,0.007,0.010,0.013
DCC_bivariate_loop,0.013,0.013,0.015,0.014,0.013,0.010,0.014,0.017,0.007,0.008,0.011,0.012
SW_cross_validated,0.006,0.011,0.026,0.018,0.016,0.016,0.022,0.018,0.032,0.013,0.018,0.018
SW_15,0.009,0.016,0.023,0.012,0.011,0.012,0.019,0.020,0.025,0.014,0.024,0.017
SW_30,0.013,0.012,0.014,0.010,0.013,0.013,0.016,0.017,0.021,0.012,0.015,0.014
SW_60,0.015,0.012,0.012,0.009,0.012,0.012,0.007,0.018,0.013,0.009,0.017,0.012
SW_120,0.009,0.021,0.013,0.016,0.006,0.007,0.010,0.015,0.007,0.013,0.013,0.012
sFC,0.013,0.015,0.003,0.002,0.002,0.001,0.002,0.003,0.001,0.006,0.002,0.005
